Name of the Company,Address,Phone,Business Types
Vikas Textile Industries,"Address: 108 New Pachranga Market, New Pachranga Bazar, Panipat City, Panipat - 132103, Near IBL Public School",Phone: +919152565515,"Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Woollen Blanket Manufacturers"
Govind Textile Pvt Ltd,"Address: Shop No-3411, Old Gohana Road, Gohana Road, Panipat - 132103, Near SBI BankShastri Colony","Phone: +919729018018, +919812000293","Tags: Bed Sheet Manufacturers, Mink Blanket Manufacturers, Woollen Blanket Manufacturers"
Titos,"Address: Showroom :828/7, Amar Bhawan Chowk, Panipat City, Panipat - 132103, Opposite Pakode Wala",Phone: +919152393684,"Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Blanket Wholesalers"
Origin Handloom Pvt Ltd,"Address: GT Road, Geeta Mandir Road, Panipat - 132103, Near Railway Station Road, Opposite Pillar Number - 47","Phone: +919812061459, +919812711113","Tags: Bed Sheet Manufacturers, Velvet Fabric Manufacturers"
Sonu Handloom Palace,"Address: Plot -15, Risalu Road, Panipat HO, Panipat - 132103, Near-Basket Ball Ground","Phone: +919812411181, +919812311181","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Carpet Manufacturers"
Sonu Handloom Palace,"Address: Gali No. 12 Baljeet Nagar, Sanoli Road, HUDA Sector 25, Panipat - 132103, Near- Malik Petrol Pump","Phone: +919812411181, +919812311181","Tags: Bed Sheet Manufacturers, Curtain Manufacturers, Sofa Cover Dealers"
Sourabh Textile,"Address: Sourabh Textile, Babail Road, Panipat HO, Panipat - 132103, Jai Maa Asth Bhuji Mandir Road","Phone: +919306439969, +919215800890","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Blanket Wholesalers"
Parv Tex India,"Address: Behrampur, Bapoli Road, Panipat HO, Panipat - 132103",Phone: +919991144492,"Tags: Bed Sheet Manufacturers, Towel Manufacturers"
Varindavan Fabrics Pvt Ltd,"Address: Plot 19A, Sector 25, Huda, Panipat - 132104",Phone: +919812522299,"Tags: Bed Sheet Manufacturers, Carpet Dealers, Sofa Cover Dealers"
Liberty India,"Address: Panipat Gt Road, Panipat - 132103, Sanjay Chowk","Phone: 1802698472, 1802698475, +919980507258","Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers, Carpet Manufacturers"
Rams Odhna Bichona Pvt Ltd,"Address: G T Road, Near Samsung Care, Panipat City, Panipat - 132103, Opposite Axis Bank",Phone: +919152388347,"Tags: Bed Sheet Manufacturers, Bed Sheet Retailers"
Satya Textiles,"Address: Shop No. 324/7, Sethi Chowk, Israna, Panipat - 132103, Near Katariya Medical Store",Phone: +919812627341,"Tags: Bed Sheet Manufacturers, Blanket Wholesalers"
Dua Handloom Industries,"Address: 5/7, Amar Bhawan Chowk, Panipat City, Panipat - 132103, Near Ram Mandir Street",Phone: +919152568646,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Blanket Wholesalers"
Farmer Textiles,"Address: 1 9, Sector 25 Part Ii, Panipat Sector 25 Part 2, Panipat - 132103","Phone: +919996000031, +919253771111","Tags: Bed Sheet Manufacturers, Fleece Blanket Dealers"
Bhatia International India,"Address: Geeta Mandir Road, Geeta Mandir Road, Panipat - 132103, Near Laxmi Dhaba","Phone: 1802632487, 1804004077, +919812031077, +919215531077","Tags: Bed Sheet Manufacturers, Carpet Manufacturers, Handloom Manufacturers"
Choco Creation,"Address: 370/7, Sanoli Road, Panipat - 132103, Shree Ram Mandir Street","Phone: 1804067390, +919813090722, +918168064755","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Vimal Handloom Emporium Pvt Ltd,"Address: 878/7, S D College Road, Panipat G T Road, Panipat - 132103, Near Punjab National Bank","Phone: +9101804007866, +9101804022866, +919896600086, +919896008866, +919416468481","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Blanket Wholesalers"
Sunny Textiles,"Address: Number 274/7, Amar Bhawan Chowk, Panipat City, Panipat - 132103, Near Shree Ram Mandir Street",Phone: +919152615424,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Blanket Wholesalers"
Swastik Traders,"Address: Shop No- 681/7, Gurudwara Road, Panipat City, Panipat - 132103, Near Amar Bhawan Chowk",Phone: +919034688991,"Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Blanket Wholesalers"
Keshav International,"Address: Ward Number 11, Kuttani Road, Panipat HO, Panipat - 132103, Near Mahavir Adarsh School","Phone: +9101802690791, +919215577133, +919812077133","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Gagan Handloom,"Address: Sanoli Road, Panipat - 132104, Near Malik Petrol Pump",Phone: +919671700412,Tags: Bed Sheet Manufacturers
Solitaire Home Furnishing,"Address: Origin Handloom, GT Road, Panipat City, Panipat - 132103, Opposite Pillar Number 47, Near-Railway Road",Phone: +919152673551,"Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Blanket Wholesalers"
Milan Textiles,"Address: Babail Road, Kacha Kala Aamba Road, Babail, Panipat - 132103, Near Gangotri Furnishing House","Phone: 1802640083, +919729031000, +919812068300, +919728031000","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Carpet Manufacturers"
Mayank Home Furnishing,"Address: Plot No 5, Part 2, Huda, Panipat - 132104, Sector 29","Phone: 1802664600, 1802664700, 1804017999","Tags: Bed Sheet Manufacturers, Curtain Manufacturers, Home Furnishing Manufacturers"
Anjali Home Fashion,"Address: S D College Road, Panipat City, Panipat - 132103, Above Punjab National Bank","Phone: +9101804013403, +919215536992, +919215536991, +917206800092","Tags: Bed Sheet Manufacturers, Blanket Dealers, Blanket Manufacturers"
Dev Overseas,"Address: Vpo Kabdi, Kabri, Panipat - 132103, Near Kabri Village",Phone: +918168530050,Tags: Bed Sheet Manufacturers
Roshan Singh Bhag Singh Pvt Ltd,"Address: 350/7, Panipat - 132103, Near Amar Bhawan Chowk, Ram Mandir Ke Samne Wali Gali","Phone: 1804003377, +919896840108","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Woollen Blanket Manufacturers"
Barkha International,"Address: Plot Number 9, Risalu Road, Huda Sector 25, Panipat - 132103, Near Annapurna Farms","Phone: 1804000125, +919817765910, +919813245674","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Carpet Manufacturers"
Am Textiles,"Address: Road, Huda Sector 29, Panipat - 132103, Near","Phone: +919991004233, +918570003266","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Velvet Fabric Manufacturers"
sunil handloom pvt ltd,"Address: Office Number-153-154, Panipat Gt Road, Panipat - 132103, Opposite State Bank Of India","Phone: +9101802690100, +9101802639398, +9101802630032, +9101802661400, +9101802690101","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Blanket Wholesalers"
Seema Handloom,"Address: Shop Number- 13, Pachranga Bazar, Panipat - 132103, near Jain Mohalla and within Geeta Market","Phone: +917404983222, +917999993432","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Handloom Retailers"
Akash Home Furnishings Pvt Ltd (Rg),"Address: Balana Road, Balaana, Panipat - 132145, Near","Phone: +919812209091, +917988215485",Tags: Bed Sheet Manufacturers
U D Home Furnishing,"Address: 197/7 Amar Bhawan Chowk, Israna, Panipat - 132103, Opposite Ram Mandir Street Near Sethi Chowk","Phone: 1804008483, +919034300083, +919416292698","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Gaba Textlies,"Address: Desraj Colony, Panipat HO, Panipat - 132103, Near- Raj Kumar Atta Chakki","Phone: +919215984393, +918950957927","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
RGTS Home Furnishing India Pvt.Ltd,"Address: Chawla Colony, Kuttani Road, Panipat City, Panipat - 132103, Old Dawar Factory","Phone: +917422820000, 7422830000","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Blanket Wholesalers"
Birmi International Pvt Ltd,"Address: Madlauda, Panipat - 132113, Opp Railway Station","Phone: +919991000051, +918295300051","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Yarn Manufacturers"
Bsb Woollens Pvt Ltd,"Address: Pachranga Bazar, Panipat - 132103, OPP PNB ATM","Phone: 1804006927, +919215700338, 9812029683, 9416000338","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Bed Sheet Wholesalers"
Festival Fabrics,"Address: Chandni Bagh, Babail, Panipat - 132103, Behind Khushi Garden","Phone: +919215213880, 9215213884, 9215213887",Tags: Bed Sheet Manufacturers
Bansal Woollens Pvt Ltd,"Address: Number 86/4, Pachranga Bazar, Pachranga Bazar, Panipat - 132103, Near-Jain Mandir","Phone: 1804008388, +919896015558, +919996631352, +919416017590","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Woollen Blanket Manufacturers"
Satish Kumar Dhingra,"Address: Office Number-153-154, Panipat Gt Road, Panipat - 132103, Opposite State Bank Of India","Phone: +9101802690100, +919050700000, +919416000800","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Blanket Wholesalers"
Indian Weave Sourcing,"Address: Near Mittal Mall, Risalu Road, Panipat City, Panipat - 132103, Near Annapurna Garden",Phone: +918950000704,"Tags: Bed Sheet Manufacturers, Carpet Dealers, Carpet Manufacturers"
Sethi Home Decor,"Address: Sethi Chowk, Panipat - 132107, Near HDFC Bank Atm","Phone: +918950200108, +917206170013","Tags: Bed Sheet Manufacturers, Blanket Wholesalers, Handloom Wholesalers"
Gupta Enterprise,"Address: Babail Road, Babail, Panipat - 132103, Opposite Kabul Bagh Masjid","Phone: +919812245436, +918950510953","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Kanishka Texo Fab,"Address: Plot No-466, Sector 25, Part-2, Huda, Panipat - 132103","Phone: 1802660466, +919466785632, +919355535456","Tags: Bed Cover Manufacturers, Bed Sheet Manufacturers, Sofa Cover Dealers"
Tamanna international panipat,"Address: plot.no.118, villg dahar, gohana road, Gohana Road, Panipat - 132103, Near,Axis bank","Phone: +919992000763, +918168209233","Tags: Bed Sheet Manufacturers, Cotton Waste Dealers, Rug Manufacturers"
LG Handloom,"Address: 481/4, Circular Road, New Hb Colony, Panipat - 132103, Amar Bhawan Chowk","Phone: 1804010189, +919996349840","Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers, Door MAT Manufacturers"
Siesta,"Address: 416/10, Kutani Road, Panipat - 132103, Near R.k Public School","Phone: +919896705444, 8199002020","Tags: Bed Sheet Manufacturers, Cushion Manufacturers, Quilt Dealers"
Gaurav Textile BTM,"Address: Ganpati Handloom Market And Gohana Road, Gohana Road, Panipat - 132103","Phone: +9101804001845, +919466622053, +919215701227, +919896067755, +919466253558","Tags: Bed Sheet Manufacturers, Handloom Manufacturers, Handloom Wholesalers"
S K Handloom Textiles,"Address: Plot No-237, Gali No-5, Marla Chowk, Panipat - 132103, Near Kranti Nagar","Phone: +9101802691611, +919355050515, +919896263515, +919354928816","Tags: Bed Sheet Manufacturers, Curtain Fabric Manufacturers, Curtain Manufacturers"
Deepak Textile,"Address: 153/154, 153/154 S.D College Road, Panipat Gt Road, Panipat - 132103, Opp.Sbi Bank",Phone: +919152629415,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Home Grace,"Address: Shop No.- 101-102, S.D. College Road, Panipat G T Road, Panipat - 132103, Near Pn.B. Bank","Phone: 1804007615, +919896888188","Tags: Bed Sheet Manufacturers, Carpet Dealers, Textile Retailers"
Five Star Handloom House,"Address: Nai Sabji mandi k pass, saini colony, Panipat HO, Panipat - 132103, Subhash Tubewall",Phone: +919466785677,"Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Handloom Retailers"
Parkash Overseas,"Address: Plot No. 175, Sector 25, Part 2, Panipat City, Panipat - 132103, Near Sales Tax Office",Phone: +919152295519,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Blanket Wholesalers"
Bsb Home,"Address: Plot No-11, Sector 25, Part 2, Pachranga Bazar, Panipat - 132103, Opp Indo Mehak Farm House","Phone: +918800443561, +917015580960, +919812029683","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Vrinda Home Tex,"Address: Teja Singh Ground, Circular Road, Panipat Nsm, Panipat - 132103, Amar Bhawan Chowk","Phone: +919896600266, +919034000002","Tags: Bed Sheet Manufacturers, Handloom Manufacturers"
BSB Spinners,"Address: Plot No 11, Phase 2, HUDA Sector 25, Panipat - 132103, Opp Indo Mehak Farm House","Phone: +919728252222, +919992816191","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Woollen Blanket Manufacturers"
Hand Fab A Living,"Address: Shop No-9, Jattal Road, Panipat - 132103, Mahaveer Colony,Near Railway Crossing","Phone: 1802630735, 1802632627","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Curtain Dealers"
Inder Textiles,"Address: Shop No 484/4, Circular Road, Amar Bhawan Chowk, Panipat G T Road, Panipat - 132103, Panipat","Phone: +919812081872, +919215785111, +919812266200","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Textile Retailers"
Sandhya Handloom Indutries,"Address: 813/7 Sandhya Handloom, S D College Road, Panipat G T Road, Panipat - 132103, Near Punjab National Bank","Phone: +9101802637639, +919416007639, +919416016503","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Keshav Prints,"Address: Circular Road, Panipat City, Panipat - 132103, Near Amar Bhawan Chowk","Phone: +919215536134, +917404700002, +919034112342","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Handloom Retailers"
Chawla Enterprises (carpet),"Address: Nala Par, Kutani Road, Babri Majid Wali Gali, Panipat HO, Panipat - 132103, Near 11 No Ward","Phone: +919215667456, +919896725003, +919810067546",Tags: Bed Sheet Manufacturers
Ddi Enterprises,"Address: Across Both Canal, Office No. 7, Jattal Road, Panipat City, Panipat - 132103, Near Shani Mandir","Phone: +919992220075, +919996002227","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Woollen Blanket Manufacturers"
New Sham Sunder Handloom Industry,"Address: Shop No - 15, shantan dhram college road, Panipat City, Panipat - 132103, near pnb bank","Phone: +919812152166, +919466114661","Tags: Bed Sheet Manufacturers, Handloom Manufacturers"
Victor Textile Ltd,"Address: Plot No - 28 Sector - 29, HUDA Sector 29, Panipat - 132103, Huda Panipat","Phone: 1802660436, 1802661126, +919354910336",Tags: Bed Sheet Manufacturers
Shree Ganpati Traders,"Address: Plot No 495, Part 2, HUDA Sector 25, Panipat - 132103, Near Power House","Phone: +919253348148, +919255740761, +918059503700","Tags: Bed Sheet Manufacturers, Handloom Manufacturers, Handloom Wholesalers"
Sugandha Textiles,"Address: Mohit Nagar, Barsat Road, Panipat City, Panipat - 132103, Near Shalini Gas Godown Street",Phone: +919152205309,"Tags: Bed Sheet Manufacturers, Blanket Manufacturers"
Luxmi Handloom,"Address: Shop No 13, Geeta Market, Pachranga Bazar, Panipat - 132103",Phone: +917404983222,"Tags: Bed Sheet Manufacturers, Handloom Manufacturers"
Mahaluxmi Textiles,"Address: Shop Number-455/7, Amar Bhawan Chock, Gurudawara Road, Panipat City, Panipat - 132103, Near Gurudawara","Phone: +918950600030, +918222900030","Tags: Bed Sheet Manufacturers, Handloom Retailers, Woollen Blanket Manufacturers"
Bala JI Ind,"Address: E-29, Panipat HO, Panipat - 132103, All Indl Area","Phone: 1802652952, 1802681084, +919896079786","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Cushion Manufacturers"
Arya Textiles,"Address: 665/4, Pachranga Bazar, Panipat - 132103, Near Valmiki Mandir, Pachranga Bazar","Phone: 1804021919, 1806507777, +919215701919, +919541288174, +919896319774","Tags: Bed Sheet Manufacturers, Handloom Manufacturers, Handloom Wholesalers"
Gagan Textiles,"Address: Panipat HO, Panipat - 132145, Devpuri Rd",Phone: +919896352052,"Tags: Bed Sheet Manufacturers, Blanket Dealers, Woollen Blanket Manufacturers"
New India Export Co,"Address: E-29, Panipat Gt Road, Panipat - 132103, Old Indl Office,Nr DC Office","Phone: 1802652952, +919896079786","Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers, Rug Manufacturers"
Ashoka Textiles,"Address: House No. 384/7, Opposite Old Subzi Mandi Sanoli Road, Panipat- 132103, Plot No.214-C Sec 29 Part-2 Huda Panipat, Panipat HO, Panipat - 132103","Phone: +919466095520, +919416000736","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Sampada Textiles,"Address: 155, Huda, Panipat - 132104, Huda, Sector-25 Part-2","Phone: 1802660591, +919812323591, +919812003591","Tags: Bed Cover Case Manufacturers, Bed Sheet Manufacturers"
H M Textiles,"Address: 229/4, Circular Road, Pachranga Bazar, Panipat - 132103, Near Amar Bhawan Chowk","Phone: 1804018600, +919812000807, +919996001884","Tags: Bed Sheet Manufacturers, Blanket Dealers, Blanket Manufacturers"
Mayur Home,"Address: 85-86, Sector 25, Part-1, HUDA, HUDA, Panipat - 132104, Near Khadi Ashram","Phone: +919996822223, +919896478412, +919996922229","Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers"
Swastik Handloom,"Address: Office No 36-B, Adrash Colony, Sanoli Road, Panipat - 132104, Panipat","Phone: +919896760608, 8601187886, 9255741773","Tags: Bed Sheet Manufacturers, Handloom Manufacturers"
Panipat Handloom,"Address: Gohana Road, Panipat - 132103, Near Fci Godown, Opposite Sugar Mill","Phone: +919068302070, 9255481966, 8050329529","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Handloom Manufacturers"
Atul International,"Address: Plot No 165, HUDA Sector 25, Panipat - 132103, Sector 25 Part 2",Phone: +919050009282,"Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Woollen Blanket Manufacturers"
Alliance Overseas Pvt Ltd,"Address: Plot No- 15, Sector -29, Part 2, Panipat HO, Panipat - 132103, Near Dainik Bhaskar Newspaper","Phone: +919215910025, +919812025160, +919812225160, +919812315160","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Textile World Company,"Address: Shop No 27, Maharaja Aggrsain Towel Market, Gohana Road, Gohana Road, Panipat - 132103","Phone: 1804000337, +919254000619","Tags: Bed Sheet Manufacturers, Curtain Manufacturers, Cushion Cover Manufacturers"
M C Handloom Industries,"Address: 280/7, Sethi Chowk, Panipat - 132107, Near Amar Bhawan Chowk","Phone: 1802696210, 1802696211, +919354920840","Tags: Bed Sheet Manufacturers, Handloom Manufacturers"
Goyal Trading Company,"Address: Shop No 54, Gali No 1, Gohana Road, Panipat - 132103, Aggarwal Towel Market","Phone: +919254095877, +919253333177","Tags: Bed Sheet Manufacturers, Handloom Wholesalers"
Dev Textiles,"Address: Plot-No.287, Sector-25, Part-2 Huda, Panipat Gt Road, Panipat - 132103, Near Aanad International","Phone: +919416159773, +919034850029","Tags: Bed Sheet Manufacturers, Bedspread Manufacturers, Prayer MAT Manufacturers"
Pawansut Enterprises,"Address: 544b Sector 12, HUDA Sector 12, Panipat - 132103, Huda Sector 12",Phone: +917015543163,"Tags: Bed Sheet Manufacturers, Blanket Manufacturers"
Balaji Handloom,"Address: Plot No-1632, Mohit Nagar, Barsat Road, Panipat City, Panipat - 132103, Opp. Kuber Dharm Kanta Street",Phone: +919152911275,"Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Carpet Manufacturers"
Sunil Handloom Pvt Ltd,"Address: Plot Number 153 - 154 Sd College Corner, G.T. Road Nh-1, Panipat Gt Road, Panipat - 132103, Opposite State Bank Of India,Near S D College","Phone: 1802690100, 1806051100, +919050700000, +919671200000, +919416000800","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Blanket Wholesalers"
Satcap India,"Address: C-173, Ground Floor, Phase-1, Urban Estate, Jamalpur, Ludhiana, Panipat City, Panipat - 132103","Phone: 1802678656, +919915070800, +919981084661","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Woollen Blanket Manufacturers"
M.d.j Texco Fab Pvt. Ltd.,"Address: Village Alipur Khalsa, Khotpura Road, Kohand, Panipat - 132103",Phone: +918053018933,"Tags: Bed Sheet Manufacturers, Mink Blanket Manufacturers"
Sunil Handloom Pvt Ltd,"Address: Plot Number - 216, Huda Sector 29, Panipat - 132103, Near Dying Unit & Days Hotel, Part 2","Phone: +919050700000, 9416000800",Tags: Bed Sheet Manufacturers
Balaji Handloom Product,"Address: Plot No. 206, Sector-29(Part II), Panipat HO, Panipat - 132103, Near Krishna Garden Marriage Lawn","Phone: 1804003605, +919896670605, +919416223355","Tags: Bed Sheet Manufacturers, Yarn Retailers"
Jsr Trading Company,"Address: Main Head Office Geeta Mandir Road, Second Branch Railway Road, Panipat City, Panipat - 132103","Phone: +919728022626, +919215708300, +919728666645, +919728666649","Tags: Bed Sheet Manufacturers, Curtain Manufacturers"
Netaji Textiles,"Address: Kutani Road Gulab Dhabe Wali Gali, Kutani Road, Panipat - 132103, Near Pehelwan Chowk","Phone: +919896766662, +919896766661","Tags: Bed Sheet Manufacturers, Blanket Wholesalers"
Home Sazz-Home Furnishing,"Address: Plot No.74, Home Sazzhome Furnishing In Panipat, No10, Baljeet Nagar, Sector 9, Street, Street Sanoli Road, Huda, Panipat - 132103",Phone: +919802000968,"Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers, Door MAT Manufacturers"
Riddhi Siddhi Texo Fab,"Address: Sanoli Road, Panipat - 132104, Near Essar Petrol Pump","Phone: +917056646740, +919467691940","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Woollen Blanket Manufacturers"
Kher Industries,"Address: R K Vihar, Model Town, Jattal Road, Model Town, Panipat - 132103",Phone: +918571844490,Tags: Bed Sheet Manufacturers
Bharat Handicraft,"Address: Near Jattu Chowk Plot No 4, Bhagat Nagar, Bhagat Nagar, Panipat - 132103",Phone: +917988202528,"Tags: Bed Sheet Manufacturers, Fabric Manufacturers"
Riddhi Exports,"Address: 91/11, Sanoli Road, Panipat City, Panipat - 132103, Opp.New Subzi Mandi, Near-Raghunath Chowk",Phone: +919152253649,Tags: Bed Sheet Manufacturers
Abhinav Grah Nikhar,"Address: 5/7, Sd College Road, Panipat Gt Road, Panipat - 132103, Opposite Punjab National Bank, S.D. School Market","Phone: +919896887161, +919996315001","Tags: Bed Sheet Manufacturers, Carpet Manufacturers"
Festival Fabrics,"Address: Chandni Baag, Railway Road, Panipat - 132103, Behind Khushi Garden","Phone: +919215213884, +918168294759","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Carpet Manufacturers"
Anandtex International,"Address: Anand Tax, Risalu, Panipat - 132104, Near TDI","Phone: 1802666996, +918221000678, 9996033302, 9810430541, 9996619191","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Woollen Blanket Manufacturers"
Santosh Loomtex,"Address: Work Adress Plot No 190 Sec 29 Part 2, DEV Puri Rd, Panipat HO, Panipat - 132103, Inside Tiranga Gate,Bh Mahavir Tal Hospital",Phone: +919812233527,"Tags: Bed Sheet Manufacturers, Quilt Dealers"
Anvika Textile,"Address: Ganesh Nagar Gali Sec-5, Sinoli Road, New Hb Colony, Panipat - 132103, Near New Sabzi Mandi, & Jali Wali Karkhanna","Phone: +919896431005, +919896726222","Tags: Bed Sheet Manufacturers, Cushion Cover Manufacturers, Handloom Manufacturers"
Rahul Textile,"Address: Sanoli Road Panipat, Sanoli Road, Panipat - 132104, Near Ubra Kaserimod",Phone: +918059999930,"Tags: Bed Sheet Manufacturers, Textile Manufacturers"
LIFE Styler  Furnishing,"Address: NERA BAJAJ EYE HOSPITAL, NEW SUKHDEV NAGAR, Sukhdev Nagar, Panipat - 132103, INSAR MARKET","Phone: +919808741904, +919837513458","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Handloom Manufacturers"
